"","word","sentiment","n"
"394","disrespect","negative",5
"395","downgrade","negative",5
"396","enjoying","positive",5
"397","faith","positive",5
"398","falling","negative",5
"399","fastest","positive",5
"400","fiasco","negative",5
"401","finest","positive",5
"402","gain","positive",5
"403","glitch","negative",5
"404","grateful","positive",5
"405","hopeful","positive",5
"406","horrid","negative",5
"407","illegal","negative",5
"408","inadequate","negative",5
"409","inappropriate","negative",5
"410","inclement","negative",5
"411","injury","negative",5
"412","kill","negative",5
"413","kindness","positive",5
"414","lead","positive",5
"415","loose","negative",5
"416","loves","positive",5
"417","magic","positive",5
"418","messing","negative",5
"419","nonsense","negative",5
"420","odd","negative",5
"421","pain","negative",5
"422","popular","positive",5
"423","pricey","negative",5
"424","proud","positive",5
"425","rectify","positive",5
"426","scared","negative",5
"427","secure","positive",5
"428","shocking","negative",5
"429","sincere","positive",5
"430","smiling","positive",5
"431","speedy","positive",5
"432","strong","positive",5
"433","sucked","negative",5
"434","superior","positive",5
"435","unknown","negative",5
"436","valuable","positive",5
"437","vile","negative",5
"438","winning","positive",5
"439","woo","positive",5
"440","approve","positive",4
"441","awkward","negative",4
"442","bitch","negative",4
"443","bloody","negative",4
"444","breaks","negative",4
"445","cheated","negative",4
"446","chill","negative",4
"447","clever","positive",4
"448","comfort","positive",4
"449","complicated","negative",4
"450","compliment","positive",4
"451","confident","positive",4
"452","confusing","negative",4
"453","congratulations","positive",4
"454","cramped","negative",4
"455","crowded","negative",4
"456","dark","negative",4
"457","debacle","negative",4
"458","deny","negative",4
"459","deplorable","negative",4
"460","disorganized","negative",4
"461","disrespectful","negative",4
"462","easiest","positive",4
"463","efficient","positive",4
"464","exhausted","negative",4
"465","failures","negative",4
"466","falls","negative",4
"467","fave","positive",4
"468","favor","positive",4
"469","fear","negative",4
"470","frustrations","negative",4
"471","ftw","positive",4
"472","gladly","positive",4
"473","gorgeous","positive",4
"474","headache","negative",4
"475","hero","positive",4
"476","holy","positive",4
"477","honored","positive",4
"478","idiot","negative",4
"479","ignore","negative",4
"480","incorrect","negative",4
"481","incorrectly","negative",4
"482","inefficient","negative",4
"483","innovation","positive",4
"484","insulting","negative",4
"485","madness","negative",4
"486","misleading","negative",4
"487","negligence","negative",4
"488","nicer","positive",4
"489","outrageous","negative",4
"490","patiently","positive",4
"491","precious","positive",4
"492","promising","positive",4
"493","providence","positive",4
"494","quicker","positive",4
"495","quiet","positive",4
"496","randomly","negative",4
"497","rant","negative",4
"498","recovery","positive",4
"499","regret","negative",4
"500","responsive","positive",4
"501","risk","negative",4
"502","saver","positive",4
"503","severe","negative",4
"504","silly","negative",4
"505","smoothly","positive",4
"506","steal","negative",4
"507","strange","negative",4
"508","strike","negative",4
"509","terrific","positive",4
"510","trash","negative",4
"511","trusted","positive",4
"512","unwilling","negative",4
"513","utterly","negative",4
"514","accomplished","positive",3
"515","affordable","positive",3
"516","aggressive","negative",3
"517","amazed","positive",3
"518","angel","positive",3
"519","appreciates","positive",3
"520","arrogant","negative",3
"521","awe","positive",3
"522","beg","negative",3
"523","beware","negative",3
"524","blatant","negative",3
"525","boycott","negative",3
"526","bright","positive",3
"527","cancer","negative",3
"528","celebrate","positive",3
"529","challenging","negative",3
"530","charm","positive",3
"531","cheer","positive",3
"532","complained","negative",3
"533","confidence","positive",3
"534","convenient","positive",3
"535","craziness","negative",3
"536","cruel","negative",3
"537","dawn","positive",3
"538","deaf","negative",3
"539","decency","positive",3
"540","difficulties","negative",3
"541","disabled","negative",3
"542","discrimination","negative",3
"543","disgruntled","negative",3
"544","dislike","negative",3
"545","downhill","negative",3
"546","empathy","positive",3
"547","enjoyable","positive",3
"548","entertain","positive",3
"549","entertaining","positive",3
"550","err","negative",3
"551","faithful","positive",3
"552","faulty","negative",3
"553","flattering","positive",3
"554","flexibility","positive",3
"555","frigid","negative",3
"556","grace","positive",3
"557","greatest","positive",3
"558","greedy","negative",3
"559","happier","positive",3
"560","happiness","positive",3
"561","harsh","negative",3
"562","headaches","negative",3
"563","heaven","positive",3
"564","honoring","positive",3
"565","hopeless","negative",3
"566","hug","positive",3
"567","hypocrisy","negative",3
"568","improved","positive",3
"569","improvement","positive",3
"570","improvements","positive",3
"571","inability","negative",3
"572","inaccurate","negative",3
"573","inept","negative",3
"574","inevitable","negative",3
"575","inferior","negative",3
"576","insufficient","negative",3
"577","insulted","negative",3
"578","invalid","negative",3
"579","irresponsible","negative",3
"580","irritating","negative",3
"581","livid","negative",3
"582","lone","negative",3
"583","mercy","positive",3
"584","miracle","positive",3
"585","misunderstood","negative",3
"586","neglect","negative",3
"587","nicest","positive",3
"588","nonexistent","negative",3
"589","ordeal","negative",3
"590","oversize","negative",3
"591","painless","positive",3
"592","peace","positive",3
"593","plague","negative",3
"594","pleasantly","positive",3
"595","pointless","negative",3
"596","praise","positive",3
"597","pretend","negative",3
"598","priceless","positive",3
"599","proactive","positive",3
"600","promptly","positive",3
"601","pros","positive",3
"602","protect","positive",3
"603","protection","positive",3
"604","proving","positive",3
"605","qualify","positive",3
"606","recommended","positive",3
"607","refreshed","positive",3
"608","refusing","negative",3
"609","relief","positive",3
"610","reputation","positive",3
"611","rip","negative",3
"612","rotten","negative",3
"613","senseless","negative",3
"614","sensitive","positive",3
"615","shock","negative",3
"616","soft","positive",3
"617","spoiled","negative",3
"618","stall","negative",3
"619","stealing","negative",3
"620","stunning","positive",3
"621","suspect","negative",3
"622","taxing","negative",3
"623","uncaring","negative",3
"624","unpleasant","negative",3
"625","unusable","negative",3
"626","unusual","negative",3
"627","urgent","negative",3
"628","vice","negative",3
"629","vomit","negative",3
"630","warmth","positive",3
"631","whoa","positive",3
"632","wreck","negative",3
"633","abused","negative",2
"634","adore","positive",2
"635","afraid","negative",2
"636","aggravating","negative",2
"637","ailing","negative",2
"638","allergic","negative",2
"639","allergies","negative",2
"640","allergy","negative",2
"641","amazingly","positive",2
"642","anxiety","negative",2
"643","appalling","negative",2
"644","arbitrary","negative",2
"645","ardent","positive",2
"646","assure","positive",2
"647","astounding","positive",2
"648","awesomeness","positive",2
"649","bait","negative",2
"650","beautifully","positive",2
"651","beneficial","positive",2
"652","bizarre","negative",2
"653","bless","positive",2
"654","bonuses","positive",2
"655","boom","positive",2
"656","bravo","positive",2
"657","breach","negative",2
"658","breakdown","negative",2
"659","breeze","positive",2
"660","burn","negative",2
"661","burning","negative",2
"662","capable","positive",2
"663","chaotic","negative",2
"664","cheesy","negative",2
"665","childish","negative",2
"666","cloud","negative",2
"667","clueless","negative",2
"668","comfortably","positive",2
"669","compatible","positive",2
"670","complaining","negative",2
"671","complains","negative",2
"672","compliant","positive",2
"673","condescending","negative",2
"674","conveniently","positive",2
"675","crashes","negative",2
"676","creative","positive",2
"677","criminal","negative",2
"678","damages","negative",2
"679","danger","negative",2
"680","decline","negative",2
"681","dedicated","positive",2
"682","delicious","positive",2
"683","delight","positive",2
"684","delighted","positive",2
"685","desert","negative",2
"686","despicable","negative",2
"687","dick","negative",2
"688","difficulty","negative",2
"689","ding","negative",2
"690","disappoints","negative",2
"691","discontinued","negative",2
"692","dismissive","negative",2
"693","displeased","negative",2
"694","dispute","negative",2
"695","dissapointed","negative",2
"696","dissatisfaction","negative",2
"697","doubtful","negative",2
"698","dumped","negative",2
"699","embarrassment","negative",2
"700","engaging","positive",2
"701","exceed","positive",2
"702","excellence","positive",2
"703","fairly","positive",2
"704","fake","negative",2
"705","filthy","negative",2
"706","flaw","negative",2
"707","flawed","negative",2
"708","flexible","positive",2
"709","fool","negative",2
"710","foolish","negative",2
"711","gains","positive",2
"712","gems","positive",2
"713","genius","positive",2
